motivo_relatado;data_registro
Problemas de saude na familia;05/12/2025
Discordancia do valor;11/02/2026
Nao recebeu o boleto ;14/10/2025
Problemas de saúde;21/07/2025
Problemas de saude na familia;20/09/2025
Separacao / divorcio;18/07/2025
Esquecimento;08/03/2025
Esquecimento;12/09/2025
Reducao de renda;25/08/2025
Perda de emprego;05/11/2025
Problemas de saúde;28/03/2025
Reducao de renda;28/02/2025
Problemas de saúde;24/02/2026
Problemas de saude na familia;30/04/2025
Mudanca de endereco;10/03/2025
Reducao de renda;30/12/2025
Problemas de saúde;20/06/2025
Problema de saude;01/08/2025
Desemprego;23/02/2026
Problemas de saude na familia;27/07/2025
Desemprego / reducao de renda;26/06/2025
Separacao / divorcio;13/04/2025
Nao recebeu o boleto ;12/01/2026
Boleto nao chegou;07/10/2025
Outros;05/04/2025
Nao recebeu o boleto;29/03/2025
Nao recebeu o boleto ;19/02/2026
Outros;01/10/2025
Discordância do valor;22/06/2025
Problemas de saude na familia;29/10/2025
Desemprego;22/09/2025
Mudanca de endereco;26/01/2026
Boleto nao chegou;07/11/2025
Outros;01/07/2025
Discordancia do valor;06/07/2025
Problemas de saúde;02/10/2025
Problemas de saúde;06/10/2025
Problema de saude;13/11/2025
Desemprego / reducao de renda;28/10/2025
Desemprego;04/01/2026
Esqueceu o vencimento;24/02/2025
Nao recebeu o boleto ;31/07/2025
Separacao / divorcio;25/12/2025
Problema de saude;21/04/2025
Problemas de saude na familia;04/05/2025
Perda de emprego;26/01/2026
Separacao / divorcio;14/01/2026
Discordancia do valor;04/10/2025
Nao recebeu o boleto ;27/06/2025
Boleto nao chegou;30/06/2025
Discordância do valor;14/06/2025
Discordancia do valor;28/08/2025
Mudanca de endereco;23/02/2025
Nao recebeu o boleto;17/01/2026
Desemprego;25/02/2026
Perda de emprego;02/05/2025
Desemprego / reducao de renda;19/02/2026
Outros;29/01/2026
Boleto nao chegou;11/11/2025
Problemas de saude na familia;24/07/2025
Separacao / divorcio;07/08/2025
Discordancia do valor;15/08/2025
Separacao / divorcio;20/10/2025
Mudanca de endereco;22/07/2025
Nao recebeu o boleto;01/08/2025
Nao recebeu o boleto ;03/12/2025
Problemas de saude na familia;23/12/2025
Esqueceu o vencimento;20/04/2025
Nao recebeu o boleto;13/09/2025
Boleto nao chegou;28/02/2026
Discordância do valor;14/09/2025
Desemprego;29/11/2025
Problemas de saude na familia;02/05/2025
Reducao de renda;14/02/2026
Perda de emprego;04/08/2025
Mudanca de endereco;14/02/2025
Esqueceu o vencimento;24/07/2025
Separacao / divorcio;02/05/2025
Nao recebeu o boleto ;31/10/2025
Outros;21/07/2025
Problema de saude;25/12/2025
Problemas de saúde;19/01/2026
Separacao / divorcio;26/08/2025
Esquecimento;13/03/2026
Discordância do valor;07/03/2026
Problemas de saude na familia;25/05/2025
Separacao / divorcio;04/04/2025
Problema de saude;01/04/2025
Mudanca de endereco;13/07/2025
Nao recebeu o boleto ;05/11/2025
Problemas de saúde;27/06/2025
Outros;15/06/2025
Discordância do valor;11/03/2025
Boleto nao chegou;03/03/2026
Perda de emprego;29/04/2025
Desemprego;26/01/2026
Desemprego;29/10/2025
Desemprego / reducao de renda;28/07/2025
Reducao de renda;04/05/2025
Reducao de renda;11/04/2025
Nao recebeu o boleto ;01/12/2025
Problemas de saude na familia;24/02/2026
Perda de emprego;22/04/2025
Esquecimento;06/10/2025
Esquecimento;14/10/2025
Desemprego;27/11/2025
Problemas de saúde;09/05/2025
Esquecimento;14/11/2025
Discordancia do valor;10/10/2025
Discordância do valor;14/04/2025
Separacao / divorcio;07/07/2025
Nao recebeu o boleto;01/05/2025
Separacao / divorcio;16/11/2025
Problemas de saude na familia;08/03/2025
Problema de saude;11/11/2025
Esqueceu o vencimento;10/02/2026
Desemprego;02/12/2025
Problema de saude;27/02/2026
Problemas de saude na familia;06/01/2026
Nao recebeu o boleto;12/04/2025
Separacao / divorcio;07/10/2025
Esqueceu o vencimento;18/11/2025
Desemprego / reducao de renda;01/03/2025
Esquecimento;31/05/2025
Separacao / divorcio;01/12/2025
Nao recebeu o boleto;16/01/2026
Desemprego;27/07/2025
Problemas de saúde;28/06/2025
Mudanca de endereco;20/01/2026
Problema de saude;13/04/2025
Problemas de saude na familia;15/09/2025
Nao recebeu o boleto;11/06/2025
Esqueceu o vencimento;27/08/2025
Nao recebeu o boleto ;12/11/2025
Mudanca de endereco;11/08/2025
Esquecimento;28/08/2025
Perda de emprego;13/08/2025
Esqueceu o vencimento;24/11/2025
Esqueceu o vencimento;28/03/2025
Problemas de saúde;15/07/2025
Separacao / divorcio;27/12/2025
Esquecimento;09/12/2025
Esquecimento;10/12/2025
Nao recebeu o boleto;21/02/2026
Reducao de renda;24/02/2025
Reducao de renda;06/10/2025
Problemas de saude na familia;10/02/2025
Problema de saude;29/03/2025
Esquecimento;15/12/2025
Desemprego / reducao de renda;12/05/2025
Mudanca de endereco;05/03/2025
Nao recebeu o boleto;30/06/2025
Reducao de renda;19/03/2025
Nao recebeu o boleto;06/01/2026
Nao recebeu o boleto ;24/07/2025
Problema de saude;30/05/2025
Problemas de saúde;24/03/2025
Esqueceu o vencimento;01/01/2026
Desemprego / reducao de renda;20/02/2025
